DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
AB01,70,77,189,126
AB02,24,33,103,54
AB03,6,9,33,39
AB04,3,3,28,23
AB09,29,18,67,11
AB10,1538,1551,7448,6072
AB11,1899,1983,6379,4355
AB12,1185,1534,10574,9460
AB13,99,121,1434,1429
AB14,213,262,1949,1809
AB15,1413,1865,15747,14842
AB16,2247,2890,8302,6393
AB21,901,1094,9276,8282
AB22,580,738,6277,5752
AB23,432,468,4794,4396
AB24,3121,3163,9323,5961
AB25,1509,1419,5124,3725
AB30,198,242,3007,2774
AB31,449,495,6490,6179
AB32,438,533,5640,5454
AB33,120,161,2364,2112
AB34,163,197,2205,2134
AB35,102,108,1017,907
AB36,19,21,234,211
AB37,34,48,547,464
AB38,116,176,1731,1545
AB39,667,732,6855,6499
AB41,559,800,8547,8071
AB42,1506,1748,12516,11060
AB43,1041,1256,8284,7312
AB44,179,229,1358,1205
AB45,420,506,4100,3711
AB51,1010,1244,14167,13346
AB52,126,169,2121,1936
AB53,323,412,4835,4249
AB54,383,496,4266,3799
AB55,270,434,3447,2986
AB56,641,720,5176,4741
AL01,2037,2207,14303,12789
AL02,925,1099,9714,9168
AL03,1224,1365,11106,10734
AL04,1008,1192,10830,10628
AL05,1158,1219,12354,12120
AL06,356,375,5212,5121
AL07,2082,2485,12419,11228
AL08,575,701,5025,4871
AL09,437,510,4923,4600
AL10,3709,3120,11651,8137
B01,964,833,2223,1236
B02,76,62,99,48
B03,196,183,681,423
B04,293,161,306,102
B05,1326,1454,3083,1854
B06,2790,3059,4790,2449
B07,1071,1442,1858,1110
B08,5068,5829,10562,5798
B09,2865,3601,6033,3450
B10,3339,3776,6503,3375
B11,5603,6243,11633,6375
B12,2841,2848,4748,2462
B13,2982,3578,12551,9711
B14,3215,3962,13180,10964
B15,1632,1709,5096,3898
B16,2925,3052,6440,3984
B17,1839,2142,8571,7188
B18,2101,2623,3790,2380
B19,3213,3558,4689,2484
B20,3948,4488,10451,7221
B21,4935,4981,7498,4247
B23,4133,5128,13103,9898
B24,2280,2811,9003,6941
B25,1522,1972,4824,3250
B26,2074,2617,11382,9021
B27,2249,2678,7738,5599
B28,1825,2357,11023,9053
B29,3312,3830,9618,7656
B30,1944,2334,9087,8228
B31,4228,5501,17217,14518
B32,2944,4231,11399,9229
B33,3011,4069,10046,7312
B34,1383,1848,5984,4711
B35,856,1175,2419,2068
B36,2439,3324,11596,9394
B37,2927,3755,10710,8679
B38,1607,2069,6093,5191
B42,1662,2013,7952,6649
B43,1435,1878,10698,9219
B44,2835,3811,10909,8652
B45,1921,2481,10689,9263
B46,432,470,5115,4738
B47,253,296,4014,3968
B48,187,172,2367,2240
B49,325,427,4206,3994
B50,193,218,2575,2437
B60,937,1060,10539,9872
B61,1071,1269,9444,8823
B62,1018,1247,9148,8147
B63,1709,2274,12778,10980
B64,1036,1391,5516,4444
B65,1543,2106,7715,6073
B66,3120,3473,5906,3527
B67,3099,3673,8970,6247
B68,2313,3020,10302,8001
B69,2134,2867,9127,6901
B70,2949,3664,8532,5277
B71,2343,3022,9627,7131
B72,434,420,3865,3424
B73,955,1068,8925,8184
B74,871,1078,13062,12331
B75,1128,1418,9951,9490
B76,942,897,9203,8040
B77,2774,3927,20222,17157
B78,981,1197,9277,8162
B79,1031,1295,8602,7265
B80,249,275,2824,2625
B90,1747,2025,18401,17190
B91,1232,1406,13633,12890
B92,1731,2041,14004,12356
B93,523,577,8001,7932
B94,144,175,3335,3181
B95,192,197,2592,2552
B96,97,144,2243,2143
B97,1328,1635,12412,10974
B98,2908,3863,17461,14329
BA01,2494,2823,14140,12803
BA02,4056,4472,23990,21859
BA03,1395,1424,14053,13054
BA04,637,770,7286,6650
BA05,730,755,7198,6990
BA06,663,653,5218,5117
BA07,112,139,1389,1455
BA08,134,168,1765,1656
BA09,254,328,3219,2979
BA10,150,180,1327,1311
BA11,1395,1709,12572,12015
BA12,1162,1442,11390,10444
BA13,816,946,7860,7335
BA14,2405,2592,18430,16969
BA15,499,590,5191,5267
BA16,617,647,4870,4489
BA20,503,577,4327,3661
BA21,1707,2166,12470,10722
BA22,470,519,7458,7000
BB01,4450,5929,21449,15763
BB02,3877,4830,19325,15177
BB03,1901,2393,11626,9787
BB04,1882,2423,15193,13601
BB05,3759,4685,20037,16324
BB06,689,789,5406,4810
BB07,1102,1204,13407,12801
BB08,1151,1381,8114,7215
BB09,2833,3488,14735,11052
BB10,2239,2746,12770,10233
BB11,1632,2026,7243,5685
BB12,1790,2079,12435,10678
BB18,642,830,6365,5632
BD01,645,428,980,408
BD02,1911,2455,9636,7841
BD03,3471,4034,8153,4653
BD04,2422,3256,8356,6375
BD05,2969,3510,7347,4179
BD06,1897,2573,9325,7661
BD07,3542,3695,9346,5611
BD08,2903,3488,8149,4790
BD09,2104,2898,8292,5855
BD10,1429,1875,8906,7905
BD11,408,532,4101,3864
BD12,865,1166,5830,4972
BD13,1164,1403,9560,8689
BD14,422,586,2785,2408
BD15,885,1219,5431,4606
BD16,1065,1240,9440,8681
BD17,721,838,6879,6291
BD18,1725,2209,8673,7138
BD19,949,1161,8036,7234
BD20,1257,1601,14059,13009
BD21,1908,2578,7248,5137
BD22,1446,1864,10517,9342
BD23,1063,1222,11745,10966
BD24,180,219,2103,1950
BH01,2127,1975,7132,4755
BH02,872,731,3337,2177
BH02O,0,0,1,0
BH03,311,324,2170,1840
BH04,493,514,3807,3211
BH05,727,747,3940,3115
BH06,1016,1126,8611,8437
BH07,686,718,4287,3938
BH08,1953,2015,9777,8246
BH09,1695,1771,10237,9318
BH10,844,1012,7463,6912
BH11,1080,1286,7111,6513
BH12,1908,2148,12679,11279
BH13,151,214,3453,3276
BH14,994,989,9598,8968
BH15,1653,1801,12553,11259
BH16,589,771,6110,5859
BH17,893,1166,8541,8044
BH18,264,236,5081,4882
BH19,446,567,4393,3990
BH20,999,804,8621,7521
BH21,1015,1168,16744,16765
BH22,673,686,11423,10966
BH23,1935,1975,21172,20710
BH24,733,711,10034,9821
BH25,853,956,9893,9717
BH31,294,307,5400,5446
BL00,661,783,6553,6324
BL01,4374,4984,21623,16853
BL02,2854,3404,15425,13152
BL03,4994,5892,20834,14711
BL04,2326,2999,10854,8379
BL05,1110,1248,10221,9374
BL06,1330,1545,11539,10542
BL07,404,492,6245,6018
BL08,1487,1765,13632,12489
BL09,3399,4114,16669,13341
BN01,7003,6764,26272,21888
BN02,7877,8330,27751,22317
BN03,6189,6323,28117,24083
BN05,205,255,3248,3255
BN06,663,700,7087,7163
BN07,1265,1498,6967,6809
BN08,525,585,6484,6441
BN09,849,1090,4586,3923
BN10,1025,1217,7117,6267
BN11,2155,2347,11115,9561
BN12,839,983,8373,8155
BN13,1251,1380,10891,10419
BN14,1522,1655,11370,10751
BN15,1357,1568,10152,9062
BN16,907,1011,11255,11333
BN17,1659,2030,11148,9852
BN18,549,513,5384,5182
BN20,848,1054,7846,7697
BN21,1710,1816,8433,7088
BN22,2060,2533,10911,9804
BN23,1341,1730,10254,9209
BN24,294,338,4025,3929
BN25,971,1223,9038,8541
BN26,453,525,4830,4618
BN27,1145,1376,11485,11054
BN41,1530,1704,6789,6338
BN42,570,657,3685,3295
BN43,1240,1291,8540,8027
BN44,324,381,4056,4070
BN45,26,19,262,255
BR01,4500,5366,20161,18082
BR02,2631,2877,17754,16692
BR03,2759,3267,18351,17040
BR04,985,882,7595,7292
BR05,2973,3836,16017,14779
BR06,2163,2478,18103,17313
BR07,721,882,7199,6926
BR08,1106,1417,8485,7670
BS01,1136,995,3715,2210
BS02,1873,1942,4757,3176
BS03,2533,2824,12945,10849
BS04,3264,4136,16770,13864
BS05,5164,5510,17659,13178
BS06,2112,2237,10719,9617
BS07,2851,3020,13785,11319
BS08,1503,1518,8469,7395
BS09,1309,1352,12155,11442
BS10,1928,2580,9617,7985
BS11,1316,1567,6095,4840
BS12,18,14,105,52
BS13,2080,2811,9502,7670
BS14,1362,1591,10702,9634
BS15,2072,2436,17904,15839
BS16,3954,4328,29130,25993
BS17,16,17,88,62
BS18,15,14,79,61
BS20,962,1175,12668,11903
BS21,763,996,9150,8768
BS22,1455,1846,14511,13112
BS23,2309,2637,11984,9423
BS24,742,973,8775,8214
BS25,178,158,2679,2535
BS26,148,146,2062,2032
BS27,216,225,2982,2888
BS28,72,71,1451,1415
BS29,78,101,1145,1026
BS30,892,1057,11644,11116
BS31,745,931,8398,7895
BS32,1029,1099,9353,8494
BS34,1722,1975,12361,10498
BS35,742,840,9587,8873
BS36,479,484,6533,6316
BS37,1428,1764,15349,14104
BS38,0,0,1,0
BS39,443,514,6694,6275
BS40,298,324,5541,5456
BS41,166,204,2432,2331
BS45,0,0,1,1
BS48,728,848,9349,9033
BS49,383,420,4725,4629
CA01,1515,1833,7596,6091
CA02,2059,2772,13015,10733
CA03,486,576,5261,4760
CA04,183,252,3979,3844
CA05,189,202,2992,2928
CA06,267,336,3831,3370
CA07,694,901,8801,8075
CA08,291,414,4140,3811
CA09,69,102,865,769
CA10,339,432,5968,5575
CA11,843,1036,8356,7545
CA12,317,352,3068,2735
CA13,465,624,6073,5658
CA14,1583,2187,12562,10508
CA15,716,970,5637,4711
CA16,144,166,2569,2426
