DISTRICT,POINTS_1,POINTS_2,POINTS_3,POINTS_4,POINTS_5,POINTS_6,POINTS_7,POINTS_8,POINTS_9,POINTS_10,POINTS_11,POINTS_12,POINTS_13,POINTS_14,POINTS_15,POINTS_16,POINTS_17,POINTS_18,POINTS_19,POINTS_20,POINTS_21,POINTS_22,POINTS_23,POINTS_24,POINTS_25,POINTS_26,POINTS_27,POINTS_29,POINTS_30,POINTS_31,POINTS_32,POINTS_33,POINTS_35,POINTS_36,POINTS_37,POINTS_42,POINTS_45,POINTS_48,POINTS_49,POINTS_51,POINTS_60,POINTS_66,POINTS_68,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
AB01,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,77,147,189,126,315
AB02,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,57,103,54,157
AB03,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,33,39,72
AB04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,28,23,51
AB09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,47,67,11,78
AB10,0,0,650,20,14,123,9,9,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,1551,3089,7448,6072,13520
AB11,0,0,609,17,15,129,7,5,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899,1983,3882,6379,4355,10734
AB12,0,0,1194,39,24,208,14,6,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,1534,2719,10574,9460,20034
AB13,0,0,98,3,3,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,121,220,1434,1429,2863
AB14,0,0,140,0,2,28,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,262,475,1949,1809,3758
AB15,0,0,1403,43,33,208,13,5,24,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,1865,3278,15747,14842,30589
AB16,0,0,805,21,23,209,7,5,25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,2890,5137,8302,6393,14695
