DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
AA78,0,0,0,0,1,1
AB01,70,77,147,189,126,315
AB02,24,33,57,103,54,157
AB03,6,9,15,33,39,72
AB04,3,3,6,28,23,51
AB05,1,3,4,13,18,31
AB09,29,18,47,67,11,78
AB10,1538,1551,3089,7448,6072,13520
AB11,1899,1983,3882,6379,4355,10734
AB12,1185,1534,2719,10574,9460,20034
AB13,99,121,220,1434,1429,2863
AB14,213,262,475,1949,1809,3758
AB15,1413,1865,3278,15747,14842,30589
AB16,2247,2890,5137,8302,6393,14695
AB18,0,0,0,0,1,1
AB21,901,1094,1995,9276,8282,17558
AB22,580,738,1318,6277,5752,12029
AB23,432,468,900,4794,4396,9190
AB24,3121,3163,6284,9323,5961,15284
AB25,1509,1419,2928,5124,3725,8849
AB28,0,0,0,1,0,1
AB29,0,1,1,0,0,0
AB30,198,242,440,3007,2774,5781
AB31,449,495,944,6490,6179,12669
AB32,438,533,971,5640,5454,11094
AB33,120,161,281,2364,2112,4476
AB34,163,197,360,2205,2134,4339
AB35,102,108,210,1017,907,1924
AB36,19,21,40,234,211,445
AB37,34,48,82,547,464,1011
AB38,116,176,292,1731,1545,3276
AB39,667,732,1399,6855,6499,13354
AB41,559,800,1359,8547,8071,16618
AB42,1506,1748,3254,12516,11060,23576
AB43,1041,1256,2297,8284,7312,15596
AB44,179,229,408,1358,1205,2563
AB45,420,506,926,4100,3711,7811
AB51,1010,1244,2254,14167,13346,27513
AB52,126,169,295,2121,1936,4057
AB53,323,412,735,4835,4249,9084
AB54,383,496,879,4266,3799,8065
AB55,270,434,704,3447,2986,6433
AB56,641,720,1361,5176,4741,9917
AL01,2037,2207,4244,14303,12789,27092
AL02,925,1099,2024,9714,9168,18882
AL03,1224,1365,2589,11106,10734,21840
AL04,1008,1192,2200,10830,10628,21458
AL05,1158,1219,2377,12354,12120,24474
AL06,356,375,731,5212,5121,10333
AL07,2082,2485,4567,12419,11228,23647
AL08,575,701,1276,5025,4871,9896
AL09,437,510,947,4923,4600,9523
AL10,3709,3120,6829,11651,8137,19788
B00,2,0,2,0,0,0
B01,964,833,1797,2223,1236,3459
B02,76,62,138,99,48,147
B03,196,183,379,681,423,1104
B04,293,161,454,306,102,408
B05,1326,1454,2780,3083,1854,4937
B05O,0,0,0,1,1,2
B06,2790,3059,5849,4790,2449,7239
B07,1071,1442,2513,1858,1110,2968
B08,5068,5829,10897,10562,5798,16360
B09,2865,3601,6466,6033,3450,9483
B09O,0,0,0,1,0,1
B10,3339,3776,7115,6503,3375,9878
B11,5603,6243,11846,11633,6375,18008
B12,2841,2848,5689,4748,2462,7210
B13,2982,3578,6560,12551,9711,22262
B14,3215,3962,7177,13180,10964,24144
B15,1632,1709,3341,5096,3898,8994
B16,2925,3052,5977,6440,3984,10424
B17,1839,2142,3981,8571,7188,15759
B18,2101,2623,4724,3790,2380,6170
B19,3213,3558,6771,4689,2484,7173
B20,3948,4488,8436,10451,7221,17672
B21,4935,4981,9916,7498,4247,11745
B23,4133,5128,9261,13103,9898,23001
B24,2280,2811,5091,9003,6941,15944
B25,1522,1972,3494,4824,3250,8074
B26,2074,2617,4691,11382,9021,20403
B27,2249,2678,4927,7738,5599,13337
B28,1825,2357,4182,11023,9053,20076
B29,3312,3830,7142,9618,7656,17274
B30,1944,2334,4278,9087,8228,17315
B31,4228,5501,9729,17217,14518,31735
B32,2944,4231,7175,11399,9229,20628
B33,3011,4069,7080,10046,7312,17358
B34,1383,1848,3231,5984,4711,10695
B35,856,1175,2031,2419,2068,4487
B36,2439,3324,5763,11596,9394,20990
B37,2927,3755,6682,10710,8679,19389
B38,1607,2069,3676,6093,5191,11284
B41,1,0,1,1,0,1
B42,1662,2013,3675,7952,6649,14601
B43,1435,1878,3313,10698,9219,19917
B44,2835,3811,6646,10909,8652,19561
B45,1921,2481,4402,10689,9263,19952
B46,432,470,902,5115,4738,9853
B47,253,296,549,4014,3968,7982
B48,187,172,359,2367,2240,4607
B49,325,427,752,4206,3994,8200
B50,193,218,411,2575,2437,5012
B60,937,1060,1997,10539,9872,20411
B61,1071,1269,2340,9444,8823,18267
B62,1018,1247,2265,9148,8147,17295
B63,1709,2274,3983,12778,10980,23758
B64,1036,1391,2427,5516,4444,9960
B65,1543,2106,3649,7715,6073,13788
B66,3120,3473,6593,5906,3527,9433
B67,3099,3673,6772,8970,6247,15217
B68,2313,3020,5333,10302,8001,18303
B69,2134,2867,5001,9127,6901,16028
B70,2949,3664,6613,8532,5277,13809
B71,2343,3022,5365,9627,7131,16758
B72,434,420,854,3865,3424,7289
B73,955,1068,2023,8925,8184,17109
B74,871,1078,1949,13062,12331,25393
B75,1128,1418,2546,9951,9490,19441
B76,942,897,1839,9203,8040,17243
B77,2774,3927,6701,20222,17157,37379
B78,981,1197,2178,9277,8162,17439
B79,1031,1295,2326,8602,7265,15867
B80,249,275,524,2824,2625,5449
B85,0,0,0,1,0,1
B90,1747,2025,3772,18401,17190,35591
B91,1232,1406,2638,13633,12890,26523
B92,1731,2041,3772,14004,12356,26360
B93,523,577,1100,8001,7932,15933
B94,144,175,319,3335,3181,6516
B95,192,197,389,2592,2552,5144
B96,97,144,241,2243,2143,4386
B97,1328,1635,2963,12412,10974,23386
B98,2908,3863,6771,17461,14329,31790
BA00,0,0,0,1,1,2
BA01,2494,2823,5317,14140,12803,26943
BA02,4056,4472,8528,23990,21859,45849
BA03,1395,1424,2819,14053,13054,27107
BA04,637,770,1407,7286,6650,13936
BA05,730,755,1485,7198,6990,14188
BA06,663,653,1316,5218,5117,10335
BA07,112,139,251,1389,1455,2844
BA08,134,168,302,1765,1656,3421
BA09,254,328,582,3219,2979,6198
BA10,150,180,330,1327,1311,2638
BA11,1395,1709,3104,12572,12015,24587
BA12,1162,1442,2604,11390,10444,21834
BA13,816,946,1762,7860,7335,15195
BA14,2405,2592,4997,18430,16969,35399
BA15,499,590,1089,5191,5267,10458
BA16,617,647,1264,4870,4489,9359
BA20,503,577,1080,4327,3661,7988
BA21,1707,2166,3873,12470,10722,23192
BA22,470,519,989,7458,7000,14458
BB00,0,0,0,1,1,2
BB01,4450,5929,10379,21449,15763,37212
BB02,3877,4830,8707,19325,15177,34502
BB03,1901,2393,4294,11626,9787,21413
BB04,1882,2423,4305,15193,13601,28794
BB05,3759,4685,8444,20037,16324,36361
BB06,689,789,1478,5406,4810,10216
BB07,1102,1204,2306,13407,12801,26208
BB08,1151,1381,2532,8114,7215,15329
BB09,2833,3488,6321,14735,11052,25787
BB10,2239,2746,4985,12770,10233,23003
BB11,1632,2026,3658,7243,5685,12928
BB12,1790,2079,3869,12435,10678,23113
BB18,642,830,1472,6365,5632,11997
BD00,0,0,0,1,0,1
BD01,645,428,1073,980,408,1388
BD02,1911,2455,4366,9636,7841,17477
BD03,3471,4034,7505,8153,4653,12806
BD04,2422,3256,5678,8356,6375,14731
BD05,2969,3510,6479,7347,4179,11526
BD06,1897,2573,4470,9325,7661,16986
BD07,3542,3695,7237,9346,5611,14957
BD08,2903,3488,6391,8149,4790,12939
BD09,2104,2898,5002,8292,5855,14147
BD10,1429,1875,3304,8906,7905,16811
BD11,408,532,940,4101,3864,7965
BD12,865,1166,2031,5830,4972,10802
BD13,1164,1403,2567,9560,8689,18249
BD14,422,586,1008,2785,2408,5193
BD15,885,1219,2104,5431,4606,10037
BD16,1065,1240,2305,9440,8681,18121
BD17,721,838,1559,6879,6291,13170
BD18,1725,2209,3934,8673,7138,15811
BD19,949,1161,2110,8036,7234,15270
BD20,1257,1601,2858,14059,13009,27068
BD21,1908,2578,4486,7248,5137,12385
